Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2023-04-20 18:43:48,false,"Majadahonda Walking","7.77","585","01:49:28","117","142","2.2","97","118","14:05","11:01","73","77","0.73","0.0","--","--","--","11,012","--","--","No","00:09:59.6","8","01:41:43","01:49:28","678","750"
Walking,2023-04-17 18:21:35,false,"Majadahonda Walking","2.77","228","00:37:54","118","140","2.0","99","120","13:40","7:28","45","18","0.74","0.0","--","--","--","3,908","--","--","No","00:11:39","3","00:37:30","00:37:54","674","721"
Walking,2023-04-06 12:52:26,false,"Boadilla del Monte Walking","5.90","441","01:25:43","114","146","1.6","62","158","14:32","10:49","42","40","1.12","0.0","--","--","--","8,224","--","--","No","00:13:25","6","01:21:04","01:25:43","693","735"
Strength Training,2023-03-29 17:26:50,false,"Strength","0.00","141","00:14:37","141","163","2.5","--","--","--","--","--","--","--","0.0","--","--","--","70","35","7","No","00:14:37","1","00:05:35.0","00:14:41","--","--"
Treadmill Running,2023-03-29 17:08:15,false,"Treadmill Running","1.05","133","00:13:15","141","166","2.6","121","163","12:36","7:36","--","--","0.63","0.0","--","--","--","1,700","--","--","No","00:02:09.7","2","00:09:56","00:13:15","--","--"
Walking,2023-03-28 17:44:00,false,"Villanueva de la Cañada Walking","6.30","467","01:22:40","117","133","2.2","77","130","13:07","8:51","36","37","1.07","0.0","--","--","--","8,228","--","--","No","00:03:31.1","7","01:16:37","01:22:40","630","667"
Walking,2023-03-27 16:45:24,false,"Majadahonda Walking","12.59","1,212","02:55:29","146","175","3.5","80","176","13:56","5:29","215","210","0.91","0.0","--","--","--","17,772","--","--","No","00:08:01.8","13","02:49:09","02:55:29","649","722"
Walking,2023-03-26 16:24:13,false,"Majadahonda Walking","4.52","382","01:17:01","119","141","1.0","40","145","17:04","1:22","79","77","2.09","0.0","--","--","--","6,464","--","--","No","00:08:20.3","5","01:13:23","01:17:01","670","722"
Strength Training,2023-03-20 14:19:53,false,"Strength","0.00","95","00:09:15.0","143","167","2.3","--","--","--","--","--","--","--","0.0","--","--","--","120","60","8","No","00:09:15.0","1","00:05:43.1","00:09:43.8","--","--"
Walking,2023-03-20 12:52:57,false,"Majadahonda Walking","7.12","565","01:21:58","133","167","2.8","97","163","11:31","7:23","112","104","0.90","0.0","--","--","--","8,878","--","--","No","00:01:17.9","8","01:19:52","01:21:58","670","750"
Walking,2023-03-15 15:38:37,false,"Majadahonda Walking","14.06","1,087","02:44:18","131","154","3.4","109","247","11:41","6:21","168","171","0.79","0.0","--","--","--","18,064","--","--","No","00:00:45.1","15","02:39:56","02:44:18","670","750"
Walking,2023-03-14 16:42:16,false,"Majadahonda Walking","10.17","825","02:04:00","129","151","3.0","86","246","12:12","3:25","55","114","1.28","0.0","--","--","--","11,854","--","--","No","00:01:48.9","11","01:47:15","02:04:05","678","749"
Walking,2023-03-14 16:00:08,false,"Majadahonda Walking","2.10","188","00:23:23","145","162","2.2","110","237","11:07","7:09","32","5","0.82","0.0","--","--","--","2,668","--","--","No","00:01:12.1","3","00:23:23","00:23:23","718","749"
Running,2023-03-14 15:35:43,false,"Majadahonda - Run Walk Run®","2.34","221","00:23:58","147","176","2.6","116","230","10:13","7:23","66","24","0.85","0.0","--","--","--","3,006","--","--","No","00:06:17.6","3","00:23:09","00:23:58","670","717"
Walking,2023-03-13 17:26:19,false,"Majadahonda Walking","5.20","420","01:00:28","129","151","2.5","98","242","11:38","7:38","77","76","0.88","0.0","--","--","--","6,616","--","--","No","00:02:15.8","6","00:59:04","01:00:28","670","722"
Walking,2023-03-11 16:55:06,false,"Majadahonda Walking","11.88","930","02:12:03","129","157","3.2","107","250","11:07","6:06","88","88","0.85","0.0","--","--","--","14,786","--","--","No","00:04:41.6","13","02:07:15","02:12:04","701","744"
Walking,2023-03-10 16:17:05,false,"Majadahonda Walking","10.83","828","02:09:40","126","152","3.0","101","245","11:58","7:44","106","131","0.82","0.0","--","--","--","14,126","--","--","No","00:09:10.1","11","02:06:05","02:09:40","678","750"
Running,2023-03-10 16:07:12,false,"Majadahonda - Benchmark Run","0.80","82","00:09:00","141","159","2.0","113","242","11:14","1:53","31","2","0.80","0.0","--","--","--","1,056","--","--","No","00:02:00","3","00:08:59","00:09:00","670","706"
Walking,2023-03-09 16:20:31,false,"Majadahonda Walking","13.13","1,030","02:25:41","131","158","3.0","97","250","11:06","3:45","197","199","0.93","0.0","--","--","--","15,698","--","--","No","00:00:38.8","14","02:24:41","02:53:42","670","749"
Walking,2023-03-08 18:29:12,false,"Majadahonda Walking","4.10","328","01:00:17","115","145","1.0","83","220","14:41","10:57","70","113","0.83","0.0","--","--","--","5,842","--","--","No","00:00:07.4","6","00:58:12","01:00:17","670","721"
Walking,2023-03-08 17:35:31,false,"Majadahonda Walking","1.77","216","00:41:20","108","137","0.8","43","150","23:23","2:32","55","55","1.04","0.0","--","--","--","2,266","--","--","No","00:09:10.1","2","00:19:07","00:41:20","725","752"
Walking,2023-03-07 09:37:33,false,"Majadahonda Walking","10.73","833","02:16:04","128","161","2.5","102","233","12:40","9:18","139","130","0.77","0.0","--","--","--","14,634","--","--","No","00:10:03","11","02:14:16","02:16:04","670","750"
Walking,2023-03-06 12:49:31,false,"Majadahonda Walking","7.16","602","01:26:53","135","166","2.6","99","240","12:08","8:03","112","103","0.83","0.0","--","--","--","9,416","--","--","No","00:02:23.6","8","01:26:21","01:26:54","670","750"
Walking,2023-03-05 17:42:43,false,"Walking","5.80","580","01:13:59","140","160","2.9","111","231","12:46","6:07","--","--","0.70","0.0","--","--","--","8,454","--","--","No","00:09:44.2","6","01:12:09","01:13:59","--","--"
Walking,2023-03-05 13:51:32,false,"Walking","2.43","259","00:39:21","118","134","1.4","90","125","16:13","11:10","--","--","0.69","0.0","--","--","--","4,000","--","--","No","00:06:14.6","3","00:35:06","00:39:21","--","--"
Walking,2023-03-01 16:44:04,false,"Majadahonda Walking","3.74","313","00:50:29","125","155","1.5","85","217","13:29","10:42","74","69","0.89","0.0","--","--","--","5,112","--","--","No","00:00:02.3","6","00:50:27","00:50:29","670","719"
Walking,2022-08-20 11:51:22,false,"Pozuelo de Alarcón Walking","2.26","284","01:09:53","102","140","0.8","40","159","30:55","8:59","40","46","0.79","0.0","--","--","--","4,082","--","--","No","00:03:17.1","3","00:29:52","01:39:59","652","678"
Walking,2022-08-08 20:24:48,false,"Pozuelo de Alarcón Walking","6.43","430","01:18:14","123","157","2.3","85","160","12:10","9:45","91","82","0.98","0.0","--","--","--","8,296","--","--","No","00:00:01.6","10","01:17:36","01:18:18","643","696"
